ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
271	crash!	¡crash! (choque)			crash	Basic actions and technology	AUDITORY
272	to crash (heavy object)	chocar			heavy object crashing	Basic actions and technology	AUDITORY
273	finished, completely	terminado, completamente			completely	OTHER	?
274	bang (of gun), hit with a stick	estallido (de pistola), golpear con un palo			bang, hit with a stick	Basic actions and technology	AUDITORY
275	busy, uproar	ocupado, alboroto			uproar	Sense perception	AUDITORY
276	downcast	cabizbajo			downcast	The body	VISUAL
277	extremely excited	extremamente emocionado			to be excited	Emotion and values	INTERNAL STATE
278	sound of open palm slapping flesh	sonido de la palma golpeando piel			to slap	The body	AUDITORY
279	dark	oscuro			dark	Sense perception	VISUAL
280	thud	golpe sordo			thud	Basic actions and technology	AUDITORY
281	sound in fighting	sonido de pelear			fighting	Warfare and hunting	VISUAL, AUDITORY
282	pouncing with intent to destroy	saltar/abalanzarse con intención de destruir			pouncing	Basic actions and technology	VISUAL
283	to snore or gargle	roncar o hacer gárgaras			snore, gargle	The body	AUDITORY
284	quick sinking action	acción de hundimiento rápido			to sink fast	Motion	VISUAL
285	growling, grumbling	gruñir, quejarse			growl	Animals	VISUAL, INTERNAL STATE
286	strutting around	presumir			strutting around	Emotion and values	INTERNAL STATE
287	complete, ready	completo, listo			completely	OTHER	?
288	lightning flash	relámpago			lightning	The physical world	VISUAL
289	animal running	animal corriendo			animal running	Animals	VISUAL, AUDITORY
290	short person	persona baja			short person	The body, Spatial relations	VISUAL
291	full	lleno			full	Quantity	VISUAL
292	to chop wood	cortar madera			to chop wood	Basic actions and technology	AUDITORY
293	to limp	cojear			to limp	The body, Motion	VISUAL
294	to flow (water)	fluir (agua)			water flowing	The physical world	AUDITORY
295	tall, long (boat)	alto, largo (bote)			long boat	Basic actions and technology	VISUAL
296	limp and rope-like	flácido y con forma de cuerda			limp, rope-like	Spatial relations	VISUAL
297	round	redondo			round	Spatial relations	VISUAL
298	smooth	liso			smooth	Sense perception	TACTILE
299	glistening	brillante			glistening	Sense perception	VISUAL
300	sweet	dulce			sweet	Sense perception	GUSTATORY
301	to sneak furtively, slow-witted	ir a hurtadillas furtivamente, lento/poco inteligente			to sneak, slow-witted	Motion	VISUAL, INTERNAL STATE
302	red	rojo			red	Sense perception	VISUAL
303	bright (e.g., sun)	brillante (p. ej., sol)			bright	Sense perception	VISUAL
304	sound of a gunshot	sonido de disparo			gunshot	Warfare and hunting	AUDITORY
305	split in two	partido en dos			split in two	Basic actions and technology	VISUAL, AUDITORY
306	wet, soft	mojado, suave			wet, soft	Sense perception	TACTILE
307	quiet, calm; black, dark blue, dark green	silencioso, calmado; negro, azul oscuro, verde oscuro			quiet, dark	Sense perception	VISUAL, AUDITORY
308	skinny	flaco			skinny	The body	VISUAL
309	hair cut short	cabello cortado y que quedó corto			hair cut short	The body	VISUAL
310	soft, wet	suave, mojado			soft, wet	Sense perception	TACTILE
311	to defecate	defecar			to defecate	The body	VISUAL, AUDITORY
312	fat	gordo			fat	The body	VISUAL
313	narrow path	camino estrecho			narrow path	Motion	VISUAL
314	straight towards goal	de frente a una meta			to move straight to goal	Motion	VISUAL
315	small	pequeño			small	Spatial relations	VISUAL
316	straight	derecho			straight	Spatial relations	VISUAL
317	to walk straight to destination	caminar derecho a un destino			to move straight to goal	Motion	VISUAL
318	to chop, cut	cortar			to chop	Basic actions and technology	AUDITORY
319	to fling a little thing into the water	lanzar algo pequeño al agua			to fling into water	Motion	VISUAL, AUDITORY
320	embrace	abrazar			embrace	The body, Basic actions and technology	VISUAL
321	to walk	caminar			to walk	Motion	VISUAL, AUDITORY
322	scattered, spread out, chaotic	esparcido, caótico			scattered, spread out	Spatial relations	VISUAL
323	to stab	apuñalar			to stab	Basic actions and technology	VISUAL, AUDITORY
324	rapid movement, flight	movimiento rápido, volar			rapid movement, flight	Motion	VISUAL
325	deer running	venado corriendo			deer running	Animals	VISUAL, AUDITORY
326	woolly abundance	abundancia de algo lanudo			woolly	Quantity	TACTILE, VISUAL
327	repeated back-and-forth motion, e.g., wings flapping	movimiento repetido de un lado a otro, p. ej., aleteo de alas			back-and-forth motion	Motion	VISUAL
328	swinging action	accion oscilante/con vaivén			swinging action	Motion	VISUAL
329	slow starting fire	fuego que se enciende lentamente			starting fire	The physical world	VISUAL
330	to flow	fluir			to flow	Motion	VISUAL
331	cold	frío			cold	Sense perception	INTERNAL STATE
332	tenseness of object	tensión de un objeto			tenseness of object	Sense perception	TACTILE
333	to stagger	tambalearse			to stagger	Motion	VISUAL
334	to cut	cortar			to cut	Basic actions and technology	AUDITORY
335	to cry	llorar			to cry	Emotion and values	AUDITORY
336	exclamation of pain	exclamación de dolor			pain	Sense perception	AUDITORY
337	to sneeze	estornudar			to sneeze	The body	AUDITORY
338	exclamation of disgust	exclamación de asco		Marcado como "interjección". El autor distingue entre interjecciones e ideófonos propiamente dichos.	disgust	Emotion and values	INTERNAL STATE
339	to conjure, to exhale smoke / to fly, to smoke	conjurar, exhalar humo / volar, fumar		Significado en narrativas / significado elicitado. Transcripción: [f:u].	smoke	Basic actions and technology	VISUAL
340	sound of surprise / answer to call	sonido de sorpresa / respuesta a una llamada		Significado en narrativas / significado elicitado. Marcado como "interjección".	surprise	Emotion and values	AUDITORY, INTERNAL STATE
341	to jump in the water / person bathing, to dive	saltar al agua / bañarse, sumergirse		Significado en narrativas / significado elicitado.	to get into water	Motion	VISUAL, AUDITORY
342	jaguar swallowing a thorn / sound of animal (wolf?) [sic]	jaguar tragándose una espina / sonido de animal (¿lobo?)		Significado en narrativas / significado elicitado.	animal sound	Animals	AUDITORY
343	sonido de jaguar / jaguar	sonido de jaguar / jaguar		Significado en narrativas / significado elicitado.	jaguar	Animals	AUDITORY
344	bee humming	abeja zumbando		Sílabas sin espacios entre sí indican mayor rapidez, cf. hu hu hu hu.	bee	Animals	AUDITORY
345	sound of scaring away	sonido de asustar			to scare away	Emotion and values	AUDITORY
346	to have bad luck	tener mala suerte			to have bad luck	Emotion and values	INTERNAL STATE
347	to laugh	reírse			to laugh	Emotion and values	AUDITORY
348	exclamation "the poor one!"	exclamación "¡pobrecito!"		Marcado como "interjección".	poor one!	Emotion and values	AUDITORY, ?
349	to call, exclamation "I don't know"	llamar, exclamación "no sé"		Marcado como "interjección". Transcripción: [kɔ:].	to call	Speech and language	?
350	to swallow (something big)	tragar (algo grande)			to swallow something big	The body, Food and drink	AUDITORY
351	to drink	beber			to drink	Food and drink	AUDITORY
352	to wash / to make a sound in the water with the hands, to wash skin or clothes	lavar / hacer sonido con las manos, para lavar piel o ropa		Significado en narrativas / significado elicitado.	to wash	Clothing and grooming	AUDITORY
353	to enter a hole, to dress, to put something inside a thing	entrar en un hueco, vestirse, poner algo dentro de algo			enter into, put into	Motion	VISUAL
354	to lie down in hammock	echarse en una hamaca			to lie down in hammock	Spatial relations	VISUAL
355	to climb a tree	trepar un árbol			to climb tree	Basic actions and technology	VISUAL
356	to pull, to unfasten one's hammock	jalar, desatar una hamaca			to pull	Basic actions and technology	VISUAL
357	to drag, to pull	arrastrar, jalar			to pull	Basic actions and technology	VISUAL
358	to pull out of something (e.g. a necklace on a neck)	sacar de algo (p. ej., el collar en un cuello)			to pull out	Basic actions and technology	VISUAL
359	walk in a dragging manner	caminar arrastrando los pies			to walk dragging feet	Motion	VISUAL, AUDITORY
360	to grate manioc, to smooth, polish	rallar yuca, lijar, pulir			to grate, to smooth, to polish	Basic actions and technology	AUDITORY
361	to climb up a tree	subirse a un árbol			to climb up a tree	Basic actions and technology	VISUAL
362	to eat, scratch ones's skin, to dig a hole	comer, rascarse la piel, cavar un hueco			to eat, to scratch, to dig a hole	Basic actions and technology	VISUAL, AUDITORY
363	to cut (e.g. with scissors)	cortar (p. ej., con tijeras)			to cut	Basic actions and technology	AUDITORY
364	to walk in a dragging manner (on the beach)	caminar arrastrándose (en la playa)			to walk dragging feet	Motion	VISUAL, AUDITORY
365	spit into water / liquid falling on the ground	líquido cayendo en el piso		Significado en narrativas / significado elicitado.	liquid falling	Motion	AUDITORY, VISUAL
366	fish jumping	pez saltando			fish jumping	Animals	VISUAL
367	to send an arrow / to break (ping)	lanzar una flecha / romper (con sonido metálico)		Significado en narrativas / significado elicitado.	to shoot arrow	Basic actions and technology, Warfare and hunting	VISUAL
368	smoke / cramp (in the legs, arms)	humo / calambre (en las piernas, los brazos)		Significado en narrativas / significado elicitado.	smoke, cramp	The body, The physical world	VISUAL, INTERNAL STATE
369	to emerge from water / a lot of rain falling, to fall into shallow water	emerger del agua / mucha lluvia cayendo, caerse en agua poco profunda		Significado en narrativas / significado elicitado. Transcripción: [pɔ:].	water	Motion, The physical world	VISUAL, AUDITORY
370	to put (to the ground)	poner (en el suelo)			put to the ground	Spatial relations	VISUAL
371	to fly	volar			to fly	Motion	VISUAL
372	to pour with a ladle, scoop / to throw liquid, to throw the manioc mass on to the ground	servir con un cucharón, sacar a cucharadas / botar líquido, botar la masa de yuca en el suelo		Significado en narrativas / significado elicitado.	to scoop, to throw to the ground	Basic actions and technology	VISUAL, AUDITORY
373	to spit	escupir			spit	The body	AUDITORY
374	to vomit, steam getting out	vomitar, vapor saliendo			vomiting, steam	The body, The physical world	VISUAL, AUDITORY
375	to run (many people, animal)	correr (muchas personas, animal)			running	Motion	VISUAL, AUDITORY
376	to get up, to grab	levantar(se?), agarrar			to get up, to grab	Basic actions and technology	VISUAL
377	to row, to tie around, to pick up (a fruit) from the ground	remar, amarrar alrededor, recoger (una fruta) del suelo			to row, to tie, to pick up	Basic actions and technology	VISUAL
378	to cut with an axe or a knife	cortar con una hacha o un cuchillo			cut with sharp instrument	Basic actions and technology	AUDITORY
379	to break something	romper algo			break	Basic actions and technology	AUDITORY
380	to spin cotton	hilar algodón			to spin cotton	Clothing and grooming	VISUAL
381	to drill a stone / sound of something breaking	taladrar una piedra / sonido de algo rompiéndose		Significado en narrativas / significado elicitado.	break	Basic actions and technology	AUDITORY
382	exclamation "beautiful"	exclamación "hermoso"		Marcado como "interjección".	beautiful	Emotion and values	VISUAL
383	to tear manioc cake into pieces	partir un queque de yuca en pedazos			tear cake into pieces	Food and drink, Quantity	VISUAL
384	pull out plant, sweep / to grate manioc, sound of bird	sacar planta, barrer / rallar yuca, sonido de ave		Significado en narrativas / significado elicitado.	pull out plant, sweep, grate	Basic actions and technology	VISUAL, AUDITORY
385	to cough	toser			to cough	The body	AUDITORY
386	to cough (jaguar) / sound of animal	toser (jaguar) / sonido de animal		Significado en narrativas / significado elicitado.	animal sound	Animals	AUDITORY
387	to beat someone/something with a club/the hand	golpear a alguien o algo con un palo/la mano			to beat	Basic actions and technology	AUDITORY
